Age,Occupation,Purchase_1,Purchase_2,Purchase_3,Purchase_4,Purchase_5,Range_of_purchases,Categories,Age_Range
41,19,3364,3474,2078,10113,11778,10000-15000,Electrical Products,34-43
55,3,4449,799,2083,14680,2855,20000-25000,Travels,52-61
47,7,433,293,124,9363,10757,15000-20000,Fornitures,43-52
32,11,1481,6372,763,19639,2027,2500-10000,Food,25-16
40,1,1883,9260,115,22235,12261,10000-15000,Electrical Products,34-43
48,9,2429,3587,1837,3591,1586,15000-20000,Fornitures,43-52
35,14,1222,4934,38,9543,2772,10000-15000,Electrical Products,34-43
49,15,3532,4655,2215,23754,12302,15000-20000,Fornitures,43-52
39,4,2645,108,730,8654,10216,10000-15000,Electrical Products,34-43
35,6,3530,7959,2212,3715,2109,10000-15000,Electrical Products,34-43
46,12,3188,2152,854,17924,11403,15000-20000,Fornitures,43-52
31,9,1850,9139,374,23648,10515,2500-10000,Food,25-16
44,19,2848,791,471,22061,8590,15000-20000,Fornitures,43-52
33,7,3260,510,2320,11818,7700,2500-10000,Food,25-16
36,17,3734,9169,1962,23530,2587,10000-15000,Electrical Products,34-43
53,15,3640,3177,151,11673,9822,20000-25000,Travels,52-61
49,8,1952,3922,2126,1058,11631,15000-20000,Fornitures,43-52
56,18,1693,5389,194,14164,1313,20000-25000,Travels,52-61
33,15,2997,9269,1117,3844,1158,2500-10000,Food,25-16
49,6,1964,4174,34,1587,1957,15000-20000,Fornitures,43-52
51,18,892,2099,1393,6129,4652,15000-20000,Fornitures,43-52
50,3,3659,1875,1340,22279,7578,15000-20000,Fornitures,43-52
43,3,758,7121,1194,22459,6262,10000-15000,Electrical Products,43-52
33,12,994,1008,1628,3337,735,2500-10000,Food,25-16
46,13,3987,8728,1382,15808,1917,15000-20000,Fornitures,43-52
40,3,3171,7810,471,19904,6442,10000-15000,Electrical Products,34-43
46,10,2054,9773,2092,23425,482,15000-20000,Fornitures,43-52
36,5,1456,8404,1098,22079,12662,10000-15000,Electrical Products,34-43
39,10,3406,5485,2452,23139,8283,10000-15000,Electrical Products,34-43
33,6,709,6276,1278,6506,466,2500-10000,Food,25-16
43,2,1739,2101,1313,22902,5272,10000-15000,Electrical Products,43-52
46,6,3302,5432,401,12956,13267,15000-20000,Fornitures,43-52
47,12,1812,1141,468,20524,8,15000-20000,Fornitures,43-52
48,10,1906,356,1947,9210,7633,15000-20000,Fornitures,43-52
44,15,1129,7272,1159,12617,9463,15000-20000,Fornitures,43-52
40,16,4135,3416,1283,2492,10436,10000-15000,Electrical Products,34-43
43,5,4281,4331,2319,1158,8237,10000-15000,Electrical Products,43-52
31,12,2387,1724,661,24846,4202,2500-10000,Food,25-16
42,13,3690,1091,998,8230,5973,10000-15000,Electrical Products,34-43
45,11,3092,2988,987,19889,9333,15000-20000,Fornitures,43-52
38,4,4060,4071,1950,9719,5891,10000-15000,Electrical Products,34-43
58,8,2273,3623,8,1468,1228,20000-25000,Travels,52-61
46,2,3952,9179,267,14250,9186,15000-20000,Fornitures,43-52
52,19,2823,2380,564,10897,11600,15000-20000,Fornitures,52-61
61,9,14,7213,524,12429,4814,20000-25000,Travels,61-70
37,17,1621,4960,2170,1877,2697,10000-15000,Electrical Products,34-43
44,16,941,316,2461,21950,5745,15000-20000,Fornitures,43-52
54,10,1331,7763,1226,1985,6415,20000-25000,Travels,52-61
44,5,4769,6268,38,18678,1920,15000-20000,Fornitures,43-52
38,7,4182,9362,289,14297,11072,10000-15000,Electrical Products,34-43
40,5,3997,7126,600,14169,13157,10000-15000,Electrical Products,34-43
34,6,3713,1858,32,22507,2990,2500-10000,Food,34-43
49,4,1187,6730,164,10809,1788,15000-20000,Fornitures,43-52
47,7,2672,5110,1319,14277,10373,15000-20000,Fornitures,43-52
48,19,2729,5974,1520,12298,12385,15000-20000,Fornitures,43-52
28,5,3402,6517,224,12673,3729,2500-10000,Food,25-16
34,18,895,9327,1901,23639,8440,2500-10000,Food,34-43
34,4,4835,7433,420,23452,8065,2500-10000,Food,34-43
46,14,3959,5797,786,16200,2349,15000-20000,Fornitures,43-52
38,10,2195,816,2116,12908,3004,10000-15000,Electrical Products,34-43
39,3,2936,2262,1070,18723,13216,10000-15000,Electrical Products,34-43
30,12,4741,7191,1670,22466,13204,2500-10000,Food,25-16
47,17,2037,780,2419,13047,9411,15000-20000,Fornitures,43-52
40,5,3262,1949,2091,20112,2908,10000-15000,Electrical Products,34-43
43,20,18,4921,1458,10506,2208,10000-15000,Electrical Products,43-52
38,4,680,2874,594,10698,1198,10000-15000,Electrical Products,34-43
28,17,362,2734,503,14717,13582,2500-10000,Food,25-16
53,8,4482,6174,1379,16993,11383,20000-25000,Travels,52-61
45,20,4817,5656,1062,19363,6533,15000-20000,Fornitures,43-52
52,13,527,2250,2072,2011,9355,15000-20000,Fornitures,52-61
46,8,1882,5588,1404,15686,14530,15000-20000,Fornitures,43-52
35,1,1121,4001,561,17521,11750,10000-15000,Electrical Products,34-43
26,16,4543,566,112,15224,4491,2500-10000,Food,25-16
40,4,864,3673,2424,46,1412,10000-15000,Electrical Products,34-43
40,3,1259,5900,293,6159,10449,10000-15000,Electrical Products,34-43
36,13,916,1243,842,2419,7806,10000-15000,Electrical Products,34-43
36,8,4049,7167,2291,23252,2401,10000-15000,Electrical Products,34-43
50,3,4064,7957,2440,760,11796,15000-20000,Fornitures,43-52
27,20,2144,2434,1581,4884,3665,2500-10000,Food,25-16
36,20,415,9696,1315,10152,8863,10000-15000,Electrical Products,34-43
54,7,4775,1911,1510,2679,1373,20000-25000,Travels,52-61
56,3,368,6927,387,13602,7220,20000-25000,Travels,52-61
57,20,3209,8163,1867,16859,6840,20000-25000,Travels,52-61
45,9,1001,8253,760,154,3842,15000-20000,Fornitures,43-52
39,20,3050,6303,2316,14188,12844,10000-15000,Electrical Products,34-43
49,19,1847,2753,683,13307,1626,15000-20000,Fornitures,43-52
57,15,2589,7873,1942,9580,2555,20000-25000,Travels,52-61
57,12,4150,4309,468,16655,14181,20000-25000,Travels,52-61
40,17,4182,3075,809,1936,6098,10000-15000,Electrical Products,34-43
47,1,2705,1652,225,2315,12164,15000-20000,Fornitures,43-52
57,12,4963,9960,1542,22397,3599,20000-25000,Travels,52-61
42,10,2670,3161,1807,5796,10813,10000-15000,Electrical Products,34-43
51,9,3514,975,296,7256,12287,15000-20000,Fornitures,43-52
42,18,1237,6777,1801,16381,13702,10000-15000,Electrical Products,34-43
44,10,1362,1367,55,9146,12015,15000-20000,Fornitures,43-52
35,7,4613,6284,1515,10525,6237,10000-15000,Electrical Products,34-43
39,1,4545,8023,1446,19694,12051,10000-15000,Electrical Products,34-43
57,12,1087,3118,2160,17980,3646,20000-25000,Travels,52-61
34,16,78,2920,274,14099,1863,2500-10000,Food,34-43
38,4,3589,2576,2143,6255,9634,10000-15000,Electrical Products,34-43
48,7,55,4245,822,5564,7614,15000-20000,Fornitures,43-52
28,15,733,8551,735,516,12996,2500-10000,Food,25-16
66,5,4084,4480,1275,1777,13653,0-10000,Home Prodcts,61-70
40,7,2563,1944,1616,17405,5302,10000-15000,Electrical Products,34-43
49,15,1155,324,2049,5442,1273,15000-20000,Fornitures,43-52
50,19,794,2269,338,13058,8104,15000-20000,Fornitures,43-52
52,18,746,2504,533,13143,10381,15000-20000,Fornitures,52-61
40,12,4045,6685,777,19750,2535,10000-15000,Electrical Products,34-43
46,3,450,4395,832,14323,32,15000-20000,Fornitures,43-52
57,1,4456,4599,1214,22948,2922,20000-25000,Travels,52-61
41,5,4871,8744,1828,24909,4371,10000-15000,Electrical Products,34-43
29,19,793,6469,2233,7565,9923,2500-10000,Food,25-16
39,6,66,5623,2036,22930,14649,10000-15000,Electrical Products,34-43
32,6,2400,9749,513,11282,3523,2500-10000,Food,25-16
49,4,443,7738,154,4012,6266,15000-20000,Fornitures,43-52
24,16,4682,3548,2302,24515,11164,0-2500,Games,16-25
44,18,273,7655,111,7936,14980,15000-20000,Fornitures,43-52
32,15,382,3752,929,10367,12706,2500-10000,Food,25-16
51,9,3787,988,2204,16009,5907,15000-20000,Fornitures,43-52
36,13,798,5811,1735,9642,4292,10000-15000,Electrical Products,34-43
50,11,1633,3642,1868,18466,12819,15000-20000,Fornitures,43-52
30,14,3956,307,997,7231,11066,2500-10000,Food,25-16
42,16,3331,6166,1776,908,61,10000-15000,Electrical Products,34-43
32,19,1211,6698,2060,24817,3824,2500-10000,Food,25-16
41,14,80,2205,624,19272,8277,10000-15000,Electrical Products,34-43
48,20,735,2192,1128,17363,4545,15000-20000,Fornitures,43-52
30,8,3863,722,302,15274,7253,2500-10000,Food,25-16
50,13,3782,625,404,12699,4376,15000-20000,Fornitures,43-52
35,4,4163,9063,1814,4446,1944,10000-15000,Electrical Products,34-43
30,5,3,5547,1177,12354,4196,2500-10000,Food,25-16
44,1,78,7850,2422,8583,4341,15000-20000,Fornitures,43-52
42,3,1518,7706,871,2352,14402,10000-15000,Electrical Products,34-43
51,5,1346,4926,1193,9247,1166,15000-20000,Fornitures,43-52
43,15,3792,4478,1943,6291,9416,10000-15000,Electrical Products,43-52
46,8,3851,1236,1489,6050,13194,15000-20000,Fornitures,43-52
18,16,4644,5265,2407,20382,12942,0-2500,Games,16-25
36,18,4572,2630,948,2397,14442,10000-15000,Electrical Products,34-43
32,16,2396,8092,2034,21424,12712,2500-10000,Food,25-16
47,20,499,8610,1537,11976,7277,15000-20000,Fornitures,43-52
48,3,927,3994,2285,7354,1966,15000-20000,Fornitures,43-52
44,2,3401,6503,251,17185,14912,15000-20000,Fornitures,43-52
32,1,2472,5825,1910,20468,14994,2500-10000,Food,25-16
56,20,3168,5419,1482,13991,3548,20000-25000,Travels,52-61
45,3,4394,6907,2018,3156,2853,15000-20000,Fornitures,43-52
42,10,3166,1033,959,16390,13544,10000-15000,Electrical Products,34-43
46,8,627,5073,61,4890,12556,15000-20000,Fornitures,43-52
47,17,2604,9300,2243,245,14713,15000-20000,Fornitures,43-52
36,16,3609,9276,2353,3893,13039,10000-15000,Electrical Products,34-43
52,18,950,4567,1911,10044,7961,15000-20000,Fornitures,52-61
45,3,3315,184,189,3960,9866,15000-20000,Fornitures,43-52
40,9,4802,9836,2084,18974,3613,10000-15000,Electrical Products,34-43
45,6,614,8874,1525,20344,4671,15000-20000,Fornitures,43-52
42,14,4159,662,350,9251,5443,10000-15000,Electrical Products,34-43
40,11,3552,8199,2144,2654,6920,10000-15000,Electrical Products,34-43
48,13,1943,4874,768,18442,5205,15000-20000,Fornitures,43-52
31,7,35,2340,2031,15005,142,2500-10000,Food,25-16
43,20,4848,9070,810,3416,12616,10000-15000,Electrical Products,43-52
34,10,4744,7327,19,3422,11687,2500-10000,Food,34-43
23,17,2579,9526,628,2662,11939,0-2500,Games,16-25
53,14,883,2214,2179,22852,13320,20000-25000,Travels,52-61
36,2,766,1660,1192,526,9390,10000-15000,Electrical Products,34-43
41,3,1899,3325,1755,15537,789,10000-15000,Electrical Products,34-43
33,9,136,9331,1070,11149,5172,2500-10000,Food,25-16
45,17,2785,308,1317,7364,11424,15000-20000,Fornitures,43-52
45,6,4351,9340,979,23301,4661,15000-20000,Fornitures,43-52
65,5,4927,7564,2021,6050,11860,0-10000,Home Prodcts,61-70
44,10,88,7184,1933,21776,2045,15000-20000,Fornitures,43-52
57,3,4269,5707,1514,17150,2487,20000-25000,Travels,52-61
48,4,4900,9684,1057,14006,9248,15000-20000,Fornitures,43-52
51,18,1208,8968,182,820,13967,15000-20000,Fornitures,43-52
31,20,4929,2367,719,5224,6496,2500-10000,Food,25-16
52,10,1100,6983,170,7683,13607,15000-20000,Fornitures,52-61
41,13,419,7659,941,12892,10894,10000-15000,Electrical Products,34-43
37,14,4755,1836,1086,8194,10057,10000-15000,Electrical Products,34-43
31,20,1788,3186,533,9592,13618,2500-10000,Food,25-16
43,14,3786,7699,1328,8772,10847,10000-15000,Electrical Products,43-52
45,5,2868,4840,1706,23649,6035,15000-20000,Fornitures,43-52
54,8,3853,1108,537,14398,12225,20000-25000,Travels,52-61
38,2,1053,3398,2380,7225,3377,10000-15000,Electrical Products,34-43
40,15,3619,2399,1270,731,10174,10000-15000,Electrical Products,34-43
48,4,3441,8254,371,6121,2825,15000-20000,Fornitures,43-52
47,4,968,4569,2320,1487,11743,15000-20000,Fornitures,43-52
39,10,952,6164,1738,16225,11516,10000-15000,Electrical Products,34-43
33,9,3136,7443,378,9613,6908,2500-10000,Food,25-16
33,15,2673,1417,1988,18063,14450,2500-10000,Food,25-16
38,14,1008,2946,185,5414,7470,10000-15000,Electrical Products,34-43
44,9,1660,9643,2400,8261,2432,15000-20000,Fornitures,43-52
31,4,541,4949,795,17557,9488,2500-10000,Food,25-16
38,17,3660,4656,1520,20980,14791,10000-15000,Electrical Products,34-43
47,11,1209,1017,1624,17272,3867,15000-20000,Fornitures,43-52
38,16,4302,1551,1785,18046,2913,10000-15000,Electrical Products,34-43
40,13,1313,2625,2018,4807,6097,10000-15000,Electrical Products,34-43
40,5,4664,1581,1931,4213,12371,10000-15000,Electrical Products,34-43
28,1,4391,334,593,6927,562,2500-10000,Food,25-16
20,16,4259,8940,436,21328,2902,0-2500,Games,16-25
42,11,3443,8536,601,24754,8778,10000-15000,Electrical Products,34-43
31,20,2730,3207,773,9363,11032,2500-10000,Food,25-16
48,3,2422,9786,2330,23566,2279,15000-20000,Fornitures,43-52
45,9,1856,3622,1152,8914,13748,15000-20000,Fornitures,43-52
36,11,3218,4771,2203,19438,8673,10000-15000,Electrical Products,34-43
35,2,2613,7229,1505,21097,8822,10000-15000,Electrical Products,34-43
42,3,1006,8913,1470,16292,8271,10000-15000,Electrical Products,34-43
51,17,4475,6661,417,4939,2298,15000-20000,Fornitures,43-52
50,17,1226,9119,853,23309,13295,15000-20000,Fornitures,43-52
48,14,3738,512,1353,21038,10180,15000-20000,Fornitures,43-52
42,3,2314,7369,723,22485,829,10000-15000,Electrical Products,34-43
42,5,681,4608,2308,21168,2337,10000-15000,Electrical Products,34-43
43,19,528,4818,91,7284,14794,10000-15000,Electrical Products,43-52
41,12,302,5519,1683,6827,1668,10000-15000,Electrical Products,34-43
41,19,853,4036,2202,22290,4119,10000-15000,Electrical Products,34-43
40,14,2169,4549,354,22585,8336,10000-15000,Electrical Products,34-43
21,9,4154,6622,69,4958,5779,0-2500,Games,16-25
44,8,4362,1495,2125,23701,6298,15000-20000,Fornitures,43-52
46,6,4168,7700,853,16689,14091,15000-20000,Fornitures,43-52
50,5,2562,4359,2443,1926,9682,15000-20000,Fornitures,43-52
42,7,1690,8343,1610,2419,10092,10000-15000,Electrical Products,34-43
40,3,1021,4833,1179,18959,8876,10000-15000,Electrical Products,34-43
50,15,142,4467,967,23366,6784,15000-20000,Fornitures,43-52
34,19,4081,7744,830,24174,3735,2500-10000,Food,34-43
31,10,4894,4765,2133,7469,737,2500-10000,Food,25-16
33,18,111,2995,720,8094,7218,2500-10000,Food,25-16
35,4,3763,2594,1706,5363,6035,10000-15000,Electrical Products,34-43
47,11,1262,2744,2464,17293,4498,15000-20000,Fornitures,43-52
43,18,2824,252,846,989,687,10000-15000,Electrical Products,43-52
34,10,3248,9578,735,19239,14108,2500-10000,Food,34-43
28,12,878,278,1065,16636,11048,2500-10000,Food,25-16
48,12,4232,3070,1742,5954,11776,15000-20000,Fornitures,43-52
32,16,2577,496,1048,24682,10546,2500-10000,Food,25-16
53,2,2719,1589,2148,16463,4737,20000-25000,Travels,52-61
38,9,4800,8266,1000,6858,12533,10000-15000,Electrical Products,34-43
44,3,3759,4684,2183,6544,2242,15000-20000,Fornitures,43-52
54,3,3752,9064,117,21072,6242,20000-25000,Travels,52-61
40,13,4953,4260,26,20088,5233,10000-15000,Electrical Products,34-43
45,14,2373,7929,1364,21038,11484,15000-20000,Fornitures,43-52
27,12,175,6348,1370,2511,10301,2500-10000,Food,25-16
51,19,818,5877,88,3628,2735,15000-20000,Fornitures,43-52
41,19,2539,980,180,19548,5302,10000-15000,Electrical Products,34-43
56,4,688,4684,974,11375,13660,20000-25000,Travels,52-61
51,10,3523,8671,1848,6440,10222,15000-20000,Fornitures,43-52
48,20,3378,2624,1660,18929,5532,15000-20000,Fornitures,43-52
38,5,4041,2472,543,23992,2407,10000-15000,Electrical Products,34-43
41,17,246,209,2380,8917,4353,10000-15000,Electrical Products,34-43
48,7,540,2839,791,13469,11684,15000-20000,Fornitures,43-52
52,4,594,8750,552,16533,3868,15000-20000,Fornitures,52-61
58,18,2208,1281,1409,6744,2168,20000-25000,Travels,52-61
34,4,89,523,326,17169,2252,2500-10000,Food,34-43
52,12,3063,9162,833,7776,5464,15000-20000,Fornitures,52-61
49,1,4096,9819,906,12473,827,15000-20000,Fornitures,43-52
41,6,3860,14,931,17868,4439,10000-15000,Electrical Products,34-43
28,20,1297,9678,1612,8590,1799,2500-10000,Food,25-16
57,18,872,8332,1537,12691,9896,20000-25000,Travels,52-61
51,5,1401,9495,1868,17766,4121,15000-20000,Fornitures,43-52
58,6,3512,1891,1305,21039,2638,20000-25000,Travels,52-61
41,2,3267,6136,701,14344,7676,10000-15000,Electrical Products,34-43
41,19,3222,8617,27,8947,11294,10000-15000,Electrical Products,34-43
44,12,2381,1819,2028,5346,5086,15000-20000,Fornitures,43-52
52,20,3889,3939,178,8238,3529,15000-20000,Fornitures,52-61
41,20,1254,3957,553,20507,2100,10000-15000,Electrical Products,34-43
46,4,1761,9339,1553,18901,12999,15000-20000,Fornitures,43-52
41,14,788,8209,204,24220,11880,10000-15000,Electrical Products,34-43
41,15,344,93,317,10965,7442,10000-15000,Electrical Products,34-43
40,9,351,7484,2288,3980,12601,10000-15000,Electrical Products,34-43
32,11,1437,1598,1237,12565,12994,2500-10000,Food,25-16
42,6,1376,3885,1097,21930,11728,10000-15000,Electrical Products,34-43
36,11,1588,7206,1600,6612,2985,10000-15000,Electrical Products,34-43
39,6,3189,2270,1524,22508,13549,10000-15000,Electrical Products,34-43
35,8,3556,3938,337,18602,7679,10000-15000,Electrical Products,34-43
36,11,1921,281,350,547,4993,10000-15000,Electrical Products,34-43
30,9,2337,7894,1034,19571,6862,2500-10000,Food,25-16
26,14,495,3309,1972,8680,7311,2500-10000,Food,25-16
43,1,2797,8449,1747,4639,1218,10000-15000,Electrical Products,43-52
53,5,3239,7722,1891,20141,12728,20000-25000,Travels,52-61
45,15,3146,335,78,10201,13946,15000-20000,Fornitures,43-52
48,11,4999,7904,512,275,1437,15000-20000,Fornitures,43-52
49,20,1807,3276,1422,19776,11719,15000-20000,Fornitures,43-52
46,1,2421,1914,713,6709,1082,15000-20000,Fornitures,43-52
27,1,4815,1227,770,21340,1606,2500-10000,Food,25-16
24,1,3816,9103,1467,17432,8751,0-2500,Games,16-25
53,10,4572,5003,1238,6880,11825,20000-25000,Travels,52-61
39,2,2963,564,1409,14610,2186,10000-15000,Electrical Products,34-43
42,2,2006,1686,2410,18818,11560,10000-15000,Electrical Products,34-43
41,2,1149,5748,2045,10273,3831,10000-15000,Electrical Products,34-43
53,10,3925,8114,211,16952,501,20000-25000,Travels,52-61
42,16,1338,6952,996,23938,3655,10000-15000,Electrical Products,34-43
50,10,4467,7552,1038,6563,366,15000-20000,Fornitures,43-52
53,4,1044,5692,495,21989,13127,20000-25000,Travels,52-61
29,10,426,7472,2054,17920,7740,2500-10000,Food,25-16
40,13,787,2902,1206,21994,6716,10000-15000,Electrical Products,34-43
57,3,2334,6525,929,10279,5168,20000-25000,Travels,52-61
49,7,4261,9949,2334,8135,11457,15000-20000,Fornitures,43-52
29,2,4442,8659,2035,5710,13586,2500-10000,Food,25-16
38,14,67,834,1352,3558,1827,10000-15000,Electrical Products,34-43
31,8,304,5659,1802,23696,8827,2500-10000,Food,25-16
43,18,2014,6353,1132,10217,10301,10000-15000,Electrical Products,43-52
48,8,3317,8621,181,1926,8286,15000-20000,Fornitures,43-52
38,6,1157,615,2310,22816,711,10000-15000,Electrical Products,34-43
35,14,4242,1756,2144,13769,9683,10000-15000,Electrical Products,34-43
38,2,1123,7755,1584,23904,13347,10000-15000,Electrical Products,34-43
38,15,4479,6380,979,11931,14678,10000-15000,Electrical Products,34-43
50,19,963,3201,1649,2795,7270,15000-20000,Fornitures,43-52
47,18,4215,2987,287,14846,13719,15000-20000,Fornitures,43-52
22,4,381,393,1267,8145,8837,0-2500,Games,16-25
36,7,4176,2014,1239,18682,8469,10000-15000,Electrical Products,34-43
41,19,2562,4244,262,18082,11910,10000-15000,Electrical Products,34-43
47,15,3848,6793,1310,17171,8117,15000-20000,Fornitures,43-52
35,4,4817,4940,1045,6431,3214,10000-15000,Electrical Products,34-43
50,1,4571,1892,558,6715,1333,15000-20000,Fornitures,43-52
46,13,4365,8968,1352,20752,11977,15000-20000,Fornitures,43-52
42,13,829,7579,1553,17645,11259,10000-15000,Electrical Products,34-43
37,8,1660,994,811,11201,14323,10000-15000,Electrical Products,34-43
39,12,4962,7148,478,17075,3049,10000-15000,Electrical Products,34-43
41,5,4065,5954,1161,5184,5218,10000-15000,Electrical Products,34-43
48,10,4644,4781,1192,11321,6548,15000-20000,Fornitures,43-52
54,2,4937,8192,1256,1030,8840,20000-25000,Travels,52-61
30,13,1638,588,881,7937,3604,2500-10000,Food,25-16
49,5,3723,3489,322,13225,5359,15000-20000,Fornitures,43-52
43,1,4093,1130,569,15051,4227,10000-15000,Electrical Products,43-52
41,12,4382,7024,368,23114,2574,10000-15000,Electrical Products,34-43
30,20,956,7611,1695,6884,9317,2500-10000,Food,25-16
50,16,4703,4166,1325,12379,6694,15000-20000,Fornitures,43-52
43,11,4056,6294,152,18223,9894,10000-15000,Electrical Products,43-52
47,16,4115,6855,1969,8958,9257,15000-20000,Fornitures,43-52
45,15,1665,7557,1929,14976,14274,15000-20000,Fornitures,43-52
62,8,4707,4645,1821,20678,10908,0-10000,Home Prodcts,61-70
43,16,4021,9044,2156,11991,6777,10000-15000,Electrical Products,43-52
47,16,4381,2408,1044,20063,3049,15000-20000,Fornitures,43-52
45,16,4519,5396,450,5546,10009,15000-20000,Fornitures,43-52
55,6,283,8568,112,748,485,20000-25000,Travels,52-61
27,12,1750,8083,544,11963,7132,2500-10000,Food,25-16
39,11,799,9811,431,20527,6194,10000-15000,Electrical Products,34-43
52,17,1480,1653,1665,20159,6673,15000-20000,Fornitures,52-61
29,15,4194,9616,1691,21940,77,2500-10000,Food,25-16
37,2,1383,4411,2302,5211,3663,10000-15000,Electrical Products,34-43
36,3,987,5503,471,7166,2387,10000-15000,Electrical Products,34-43
39,1,2085,4764,16,21981,4100,10000-15000,Electrical Products,34-43
56,8,637,7485,1478,3742,6749,20000-25000,Travels,52-61
64,3,3878,9107,808,7771,9517,0-10000,Home Prodcts,61-70
35,9,3348,5119,425,5829,10573,10000-15000,Electrical Products,34-43
38,14,4530,9102,2329,11349,7448,10000-15000,Electrical Products,34-43
48,1,2716,7219,185,21877,3886,15000-20000,Fornitures,43-52
49,17,4902,3393,686,18870,12447,15000-20000,Fornitures,43-52
58,6,3784,2782,2478,5895,3909,20000-25000,Travels,52-61
53,6,225,4301,1661,16065,7806,20000-25000,Travels,52-61
38,12,4155,5328,728,2566,13779,10000-15000,Electrical Products,34-43
55,11,219,8975,1500,12883,12983,20000-25000,Travels,52-61
41,3,4184,3902,1761,10806,1987,10000-15000,Electrical Products,34-43
41,20,2783,3893,1908,11593,12706,10000-15000,Electrical Products,34-43
38,8,326,1589,954,488,10090,10000-15000,Electrical Products,34-43
44,10,3943,7191,253,1615,2757,15000-20000,Fornitures,43-52
46,5,3671,827,1183,10512,2934,15000-20000,Fornitures,43-52
48,15,3348,6830,241,13484,8333,15000-20000,Fornitures,43-52
