Age,Occupation,Purchase_1,Purchase_2,Purchase_3,Purchase_4,Purchase_5
40,1,4953,6705,1697,1533,8849
41,10,3692,8272,2334,18156,3135
26,14,2081,7022,1157,15045,10335
32,17,4221,8716,1202,18315,5398
47,13,3995,608,265,8707,14979
54,3,1491,8083,1911,20760,9136
52,14,21,655,1762,5468,9944
39,19,1543,4718,2163,8160,9740
47,8,3101,4759,1920,20976,12113
49,2,3409,4585,255,10658,8099
59,17,2051,4093,1028,7941,8944
36,8,2929,9831,967,10226,3652
47,15,4507,1205,322,6067,14567
36,14,2797,9873,814,21957,11296
25,16,3162,2092,938,6760,9609
49,9,273,1980,416,779,8879
42,10,4607,3254,604,11147,11158
36,7,170,3729,1682,17470,13944
44,19,4704,7185,1842,18787,14668
36,6,1625,6599,1337,23825,3600
23,14,4387,2512,938,12230,2481
29,12,3258,4368,2328,17885,2496
44,20,2030,3735,1465,2538,14647
40,11,2718,4726,1832,20332,6746
39,19,4288,8696,407,23120,5260
47,11,3726,5030,2056,1221,8074
42,10,4185,772,1986,18602,3020
37,13,3064,5663,2063,6401,879
42,10,4574,1595,2454,18598,10764
36,4,3513,2594,1783,5095,3385
39,3,3080,6239,1665,2963,6608
47,18,2238,2838,1960,21872,1118
60,16,4439,1962,66,14563,5539
57,17,1559,9902,2102,14735,1261
33,18,3872,7290,2046,9722,13990
51,6,2711,6667,2395,12381,3959
47,17,2753,8470,2090,18231,10742
54,1,881,712,565,11362,7127
44,6,4753,9516,2158,24458,2803
29,8,2971,2223,1775,10326,6259
19,2,2721,729,1142,24242,11115
48,10,801,2440,2294,14074,11142
42,2,3099,5400,2038,16355,8062
42,10,780,7024,397,23483,11926
47,2,2130,5916,1138,24449,1687
35,20,2416,4790,909,14409,3583
56,6,2674,9118,2176,13247,5036
49,14,4923,6524,1044,8672,12167
43,18,3189,6926,1017,17760,4212
37,1,4573,8584,1558,2377,5924
50,13,4909,2107,1807,14925,14426
36,7,4218,4891,17,14143,10453
45,9,2645,2428,2450,24312,4478
35,18,4347,9896,1211,17943,1709
61,1,794,8313,1893,13675,8770
52,2,3264,6090,1826,22901,8402
44,17,2194,1052,1636,2781,6135
43,12,1977,6466,664,12706,993
41,14,4154,9615,1965,22161,8063
53,9,841,3766,1161,12644,6603
36,17,2583,292,2444,13940,2362
39,4,170,2093,2396,132,9306
32,15,3811,5556,356,13085,437
48,18,648,7927,2493,14493,14137
53,6,2474,6656,1969,6466,12414
48,4,2178,3960,364,13778,2976
53,9,41,1687,850,4412,3430
49,18,1310,8682,258,13004,14922
48,14,2500,3970,2267,9532,4561
57,14,4824,3559,418,879,5802
45,3,590,4499,1883,10419,4854
42,15,2878,9873,2167,3273,10752
42,1,747,8365,276,16986,10976
49,1,3414,9005,1274,19286,9078
40,11,4454,2432,177,15855,12522
54,1,4873,4742,509,23343,12589
43,10,2683,6797,917,21163,1534
47,6,4375,5547,2234,6200,9122
44,14,4163,8891,1579,18036,810
47,5,1866,9315,275,7099,10037
27,10,35,4637,313,1077,9758
55,17,220,8704,2376,3698,4734
32,2,2814,1773,2326,17365,6462
44,6,4650,8764,1329,20362,14980
44,19,4262,9751,181,8634,4724
36,7,2747,9781,1642,19487,2319
55,18,1500,3651,2196,1632,9695
44,12,3666,4293,88,1480,4563
38,11,3850,6444,1954,8969,9925
37,7,1972,2557,1416,19782,5642
31,16,1906,1897,2038,7473,11882
42,6,3485,5254,2071,1263,10205
54,5,3580,1649,916,9641,12488
36,20,2929,329,1853,11195,3922
44,7,3525,7473,2227,8978,3579
43,7,2581,2221,2379,23504,9467
35,13,3293,9629,2003,12686,10340
56,11,797,1585,1821,19427,12276
43,18,1366,1550,1458,9818,1337
40,15,630,5111,1169,1244,12506
32,14,4500,2229,330,5712,186
43,11,3108,317,759,4879,6381
43,20,4586,1186,57,16685,2705
41,3,2920,2225,359,18838,2873
53,8,4913,8487,2332,9668,1408
43,11,2199,4817,2041,6488,2865
44,8,1632,9858,1614,12686,5745
25,12,1845,7919,1651,19113,6348
51,13,233,7213,1636,8575,642
40,12,3000,8922,1140,15931,2976
32,17,2676,5276,1020,12702,8261
36,5,952,1365,1467,6148,7163
54,1,1686,1472,386,12200,3439
30,18,2046,260,2025,3850,14735
41,6,2,8609,765,594,597
46,14,2697,4624,997,21737,13222
48,13,3306,4341,990,17990,11199
50,3,2919,4907,749,23613,11209
54,5,4203,9610,2103,22424,5162
49,6,731,6653,1005,12067,4643
33,11,4054,472,1070,24052,708
31,7,1933,5101,832,19489,14828
46,3,500,7953,2149,8237,4531
45,15,1088,9634,341,13997,11361
40,12,533,2307,2057,20830,4647
43,2,2118,8270,2368,2882,11595
44,16,4161,5318,1942,24758,5119
39,19,3651,7576,2477,7791,662
35,4,1438,7504,900,15798,1841
46,12,1202,4141,634,6328,5984
43,17,1008,1196,1293,3739,14198
46,19,1362,7138,976,6358,13790
38,1,1255,3287,81,13494,13120
44,12,1173,5985,2257,14856,5150
56,12,408,1049,2302,15108,12811
51,18,4072,3143,259,16633,4417
29,9,4403,9612,253,16091,1407
44,20,325,900,2410,5707,558
35,9,3343,7848,1186,4672,680
42,19,1694,6365,1847,15274,14129
50,18,2813,1123,1169,23512,4620
49,13,847,4264,609,6704,4103
36,7,610,3231,1451,24741,7774
56,15,4921,1303,2116,19251,13644
47,8,1720,1567,207,1223,9039
39,20,2542,6288,483,605,6168
44,2,4090,924,2373,17887,5026
43,17,531,2223,1829,19010,12712
41,8,80,2410,1803,9126,10365
40,6,893,1688,1241,7861,667
42,5,4375,1137,1050,19971,9673
48,2,3364,3259,1514,7319,14703
44,2,4971,2526,1365,15965,2346
48,17,2655,7576,2390,22924,6160
41,4,2593,7972,504,19096,11679
38,5,3919,2623,1191,19770,3058
27,12,1033,9284,1095,21021,4720
60,16,2266,1951,877,7567,4210
49,18,839,38,2194,10834,10110
48,20,804,4886,1332,6123,4184
55,13,2425,8287,1873,20955,8569
38,6,1905,937,927,22713,7888
64,4,3494,4088,2227,9044,11033
30,20,2922,4367,2384,5366,13519
36,16,3444,826,616,23484,2164
46,11,4956,1019,577,6543,3303
28,1,1367,8853,1606,7775,13004
60,19,2426,5642,1351,24397,9299
47,14,2951,2695,196,18771,610
43,12,1755,8808,393,17046,10869
48,6,1257,8627,2447,7309,9294
40,2,2912,1335,720,15495,2561
44,3,854,6258,1735,16633,12918
58,13,2001,6312,1227,15510,7972
33,11,1425,4218,774,16612,3034
22,12,2881,1471,92,11596,7540
40,18,1202,7020,1617,10722,6767
37,11,542,7428,935,17910,5067
36,17,1662,8931,1788,10582,6946
56,18,3448,6309,2251,7173,7434
44,15,4834,618,1722,14286,4350
32,3,2377,3026,754,9131,13029
47,19,2556,5090,20,13195,4658
53,4,2281,3319,2339,10716,884
30,7,163,5678,825,441,7100
46,5,129,7821,664,16243,4933
37,17,829,3754,1954,6367,12471
41,12,3648,4950,2251,18216,10457
41,2,89,4416,2391,8784,7191
52,12,4918,3897,2069,13977,1740
52,14,1433,3507,1251,13149,6834
36,1,2092,4541,650,24233,12507
45,15,2697,3384,1006,10945,960
46,17,2059,2127,1407,12417,1426
48,10,3463,664,1563,24736,3251
55,1,19,5513,306,8378,13259
49,8,1792,1437,2362,19108,11680
44,15,2275,6940,268,18283,1176
43,14,1880,3567,2077,5507,217
43,14,2101,2100,533,7930,9577
35,11,2460,6444,2211,24242,2107
43,17,1292,5632,1590,3074,3020
42,10,3847,6677,772,10031,5897
41,17,4389,9057,1272,2053,12099
50,7,2657,9530,1804,12055,12421
47,11,2480,7998,1534,9299,8489
52,3,4357,1804,99,4444,10307
48,13,2790,3959,603,4347,4004
45,11,2767,1064,1523,2518,12579
42,8,3379,2896,2437,19860,6491
45,18,4206,3143,2020,3330,10917
37,1,889,8189,1560,9595,9648
48,11,2715,4514,2009,15165,7815
46,4,3615,168,1386,21821,7241
47,8,3729,6396,719,9849,9049
41,3,2713,7988,2403,4828,9299
39,10,2921,5427,1922,5876,6294
46,7,892,8879,2342,4622,12045
34,11,3530,8094,1467,23240,14848
56,8,255,3000,1920,10700,6055
22,2,2536,6138,2348,19494,1800
47,2,1672,9750,270,11674,5304
29,9,729,2257,2310,21789,14850
33,6,4914,7637,2405,20552,7364
45,1,3244,4605,1624,1320,8793
39,2,2138,7206,529,23485,12862
44,1,3316,9416,1998,15269,7523
51,20,3012,2099,580,17580,7374
48,11,1482,7813,1776,14237,12318
53,5,1754,170,2222,15,13899
51,12,4580,6415,66,5848,11172
44,1,2625,5497,795,5923,2130
33,10,3319,5061,1937,12559,12536
44,14,3647,5108,1332,2979,3862
42,3,1828,2604,1154,21289,11795
30,9,1572,1066,451,14324,11975
41,5,4828,9297,2141,23078,14402
43,19,2958,7631,96,20121,13671
36,14,854,7841,1806,17052,9512
39,19,2243,3881,2143,21142,4848
32,2,1284,4111,22,13,6528
35,11,1437,415,1805,15033,7302
40,2,2366,3233,1360,22671,7800
43,20,217,4652,254,808,7713
48,5,1733,9118,2260,2218,13585
54,1,605,8522,115,2920,5018
38,14,2717,386,1304,7901,8262
51,13,2824,3590,796,12277,10351
45,12,3352,961,410,5157,10829
57,1,2288,9822,1969,6228,10003
40,12,4715,5081,1427,12958,10567
48,9,490,6808,233,23249,7977
47,2,2595,3457,1975,24929,13857
44,20,1094,4283,1418,21303,12546
56,10,3300,1667,1402,3198,7261
32,18,506,9557,1186,7332,635
48,17,402,69,1427,22583,3859
53,7,2680,1811,2171,16308,12827
40,8,4388,5478,1451,14356,2990
40,1,334,4858,2483,16552,9607
48,17,3126,1800,1339,15739,13606
47,12,2134,1415,1397,24552,10468
52,20,3507,6591,248,6718,14278
30,3,201,5689,216,16566,4686
42,12,3207,5598,1926,17970,14990
40,14,3274,2415,1984,10710,6241
47,13,1974,7748,1334,722,8238
41,8,463,8383,1368,9776,1567
38,3,1198,362,2294,20320,826
52,19,1467,7826,2336,17951,8946
56,17,2616,8917,21,15600,8263
48,16,1818,809,801,24362,6954
40,2,3724,902,366,6457,7794
42,20,2514,131,1703,20887,7016
34,4,112,8746,814,4395,1600
51,15,962,7517,288,3978,9240
44,16,4922,5526,1195,8550,11730
38,5,1336,6508,2197,18968,195
40,20,2738,1825,74,24092,14093
38,15,2245,1657,1625,2598,8321
39,5,4326,7901,603,5944,4837
36,10,2586,9748,264,22225,8822
35,13,1388,6975,976,24004,5536
51,19,4370,6367,146,19115,6100
43,7,101,3706,1973,6105,1507
46,17,1795,4595,271,14550,13563
53,1,3607,3842,2039,10463,9095
38,14,364,2363,1465,22176,6853
43,15,439,47,1154,14498,9651
41,11,1642,900,1013,21503,5585
42,17,4337,5215,330,15752,2344
42,1,3355,4274,2240,5199,14805
54,7,2355,1269,1486,1959,9609
52,3,1905,1091,303,23672,5753
49,13,1578,5833,436,22012,3700
46,2,4615,2334,16,10061,6388
38,7,1645,8974,1767,19427,11288
51,13,1529,1182,284,7132,14200
43,8,4597,5955,1881,22742,10430
28,7,4353,3851,1834,13776,8669
40,4,4592,2057,1182,1934,4195
34,10,857,8168,776,22279,7377
40,17,588,9480,1281,10483,12058
45,9,428,3666,824,4420,10576
41,12,891,7006,206,12663,10373
40,3,1536,1301,1314,19660,5968
51,1,4697,4785,310,23399,1363
53,6,4627,4625,2211,10821,598
51,3,1203,8,220,17379,2156
45,5,912,4662,2231,10477,7602
54,8,2103,633,1779,19362,13746
49,3,3523,921,1869,21024,11994
45,16,3101,3521,894,11968,8039
52,3,1425,3539,271,22178,6713
42,7,297,6474,1669,8523,10431
34,7,2539,9217,1604,11107,197
21,16,693,6143,1132,11210,9121
39,14,4422,2077,989,12534,10106
59,20,2932,25,1369,4658,8541
64,7,2928,2325,1119,7874,12446
38,2,871,1348,1656,1188,5180
38,11,1743,2586,581,7930,9444
57,10,3371,4753,1450,19793,2543
33,13,298,1810,1539,17305,3768
43,8,423,58,1644,21479,3116
43,1,4082,96,57,2934,9260
48,20,459,1918,1317,10984,14334
43,19,3921,5596,1292,23751,9959
51,19,608,1254,154,16035,13903
60,6,1755,4110,869,17429,11311
50,11,3955,1773,1334,13029,14860
37,3,2260,3122,89,11205,7505
52,11,632,4907,1062,12684,4365
62,6,1053,8842,173,3271,12549
46,12,134,3507,2318,22922,3009
48,6,3161,3901,1397,11485,11506
54,19,1796,5393,110,21903,920
32,3,1961,1461,1120,20996,11845
45,11,200,3343,1720,3179,10992
49,6,2120,236,143,5528,7633
46,4,435,9925,1385,21079,12377
47,12,857,7536,985,4129,6838
44,11,4850,4301,760,3703,11158
46,1,3833,7441,846,9984,966
37,18,2194,2666,1089,19354,10314
43,14,111,5238,2113,6832,12
32,10,4585,1811,166,24081,8717
49,3,2794,9626,446,3287,11992
53,3,3439,5033,329,15769,9149
56,12,590,3815,1042,19281,9055
49,9,406,9172,818,9370,13237
27,12,422,4072,398,19486,5793
49,7,2486,5771,127,1240,1321
33,17,1667,725,1727,19782,1021
23,10,624,4859,1204,24085,1138
46,7,1510,3048,985,15982,6286
43,20,2115,4377,1073,10095,2412
35,4,3503,6230,1873,11190,4970
28,19,776,6288,1204,18168,1079
43,3,4656,7167,1101,13147,8649
39,13,2689,8086,729,1466,3780
41,17,3377,7197,921,21479,13387
38,1,2504,2543,1424,13260,1432
41,18,1635,728,609,24986,10108
44,14,1648,2557,311,23503,6399
43,16,4260,4814,2228,906,2391
35,3,2109,3015,2342,3956,1617
46,12,4555,8274,484,9904,1259
58,13,2688,9162,1699,3888,11074
50,16,2882,8436,1445,1350,735
46,11,111,3254,1796,23462,10836
60,20,4812,6059,252,10503,7532
38,9,2862,9310,2171,15500,14531
46,11,4112,4885,1279,1596,2990
49,4,4200,8473,1494,8493,7102
35,15,3951,5103,1967,7594,5029
41,13,695,5678,2031,8235,10214
46,15,944,6569,2264,11151,11332
27,14,4582,6603,666,24085,6194
38,8,2530,9945,485,9929,13877
37,20,2691,3430,1558,14863,1043
42,16,1624,7278,1299,7231,928
60,14,2333,7998,2145,18201,13974
59,19,3964,2067,1761,5034,14323
35,18,2416,3394,657,24670,6762
35,19,1767,8244,1008,9631,13869
55,8,2234,1078,1626,22783,7984
50,12,4792,7529,1767,8733,7871
36,12,1458,4718,872,13716,2415
41,14,500,3313,640,10682,11168
57,12,3464,991,2116,4785,1708
53,2,354,1586,1988,20267,659
42,5,4074,9543,2429,2672,4571
53,4,4730,8746,235,880,12961
43,3,4652,6216,1563,12701,11800
43,16,492,6162,1478,14612,12675
48,18,342,9104,2215,9652,1004
50,4,4141,6100,269,22348,4539
39,12,4720,2340,1512,17958,947
48,9,3280,9634,530,24639,12319
50,15,758,1215,1511,11838,2902
30,15,4766,6746,2404,22120,5807
48,2,1333,5952,924,3043,971
52,20,1885,7384,1194,3332,1068
31,16,1624,3249,791,5132,2104
42,1,4749,6406,735,9192,7907
38,8,1075,1739,1794,13768,10992
54,6,34,2064,2165,21207,13432
37,17,1749,7053,2181,5385,8956
41,14,3791,7394,2337,15117,6182
52,4,3861,7031,516,9936,13044
38,12,3556,7626,948,21608,9487
45,7,2303,235,1185,20900,115
46,4,3351,2819,1217,10223,14316
49,1,4936,3557,305,11449,6620
55,10,4457,2148,1933,22207,14308
43,13,2230,2577,1816,2508,10531
26,10,2085,4283,1404,3970,1783
47,5,2242,8603,1283,2882,7053
49,2,3305,790,2131,14637,5077
16,7,3800,4877,846,769,9032
41,1,3499,1724,2401,17700,7409
27,3,2085,1074,2059,9434,13413
41,16,4770,8324,1105,20445,13900
35,7,4067,5495,735,17099,8514
32,17,334,6304,1268,15824,14370
42,2,480,1026,920,7422,4269
30,4,2649,5053,1737,22763,14887
35,14,3130,7011,686,5910,13605
51,17,3034,7888,1989,24683,6922
41,9,1063,552,2112,7971,9818
42,2,4736,960,338,3257,8094
40,15,4277,1911,75,10541,6172
38,4,3198,5158,1838,16459,10806
47,10,3684,4829,354,17611,3510
42,2,2746,890,136,4304,14306
47,11,2843,1017,601,12729,11448
30,8,2361,3764,591,23459,3061
21,10,216,1189,1881,11213,13479
61,6,4898,4746,1789,4906,11523
33,6,857,262,958,9397,769
62,12,491,6160,1742,22263,8941
52,7,2815,2718,1062,4674,5645
43,8,544,1704,629,8163,11095
43,14,1131,9470,1645,2118,4498
46,15,2501,6203,1783,20356,9318
55,13,4422,8450,99,24030,588
37,3,4778,6358,1521,7703,11360
45,11,1946,351,2149,6592,2285
36,1,3541,4931,1907,15725,3113
46,12,4263,6275,1666,20820,9396
42,20,4576,5923,1545,20512,8394
44,8,2655,2241,337,16280,6955
36,14,1856,8701,875,6671,10244
62,1,4374,8829,416,16958,3604
38,8,1576,8631,1845,10935,11592
36,13,4983,1694,1331,15824,11378
51,6,927,8729,885,1895,4351
41,8,4230,4505,489,404,3280
36,20,594,5592,527,24493,12920
60,1,2391,6157,1746,18220,10359
48,3,2759,877,1814,4432,13037
49,7,4908,8957,1434,6713,2513
35,6,2172,9009,1483,18066,1677
46,4,3192,5130,1910,20647,6220
45,6,1152,3061,24,6271,10218
41,9,3242,9412,1914,10708,9685
32,3,2001,1073,931,21731,5115
46,17,1865,8580,1991,7934,14879
41,6,4005,7703,1245,16917,14876
38,5,803,9232,589,5465,10639
37,2,4197,1784,1603,7450,13037
60,7,2504,2200,1756,7134,13892
37,9,270,5594,1803,1321,597
27,19,157,8210,2337,19556,4954
37,7,4935,1474,1011,19554,13457
45,3,157,9861,1998,20445,9723
40,16,4805,2346,2157,5864,1126
35,20,1861,7577,1436,24581,553
49,17,682,4988,2208,22611,8769
48,3,4891,6602,538,12820,1192
53,16,245,1801,1212,3422,11018
47,2,3612,3169,1263,16026,13950
50,9,4826,2995,206,11281,1409
38,15,2184,7321,1837,16816,832
54,17,3396,315,2382,3307,7350
65,8,590,1213,2047,13298,6396
25,4,2394,7494,173,9634,8596
43,19,701,2992,31,13442,3625
31,8,3410,9453,111,17351,6290
46,11,1296,6713,2176,7582,14035
32,12,2464,4225,2464,12899,13125
63,13,2317,3398,1624,1553,12887
50,3,1721,2301,2055,21666,3558
59,20,1707,5018,787,15768,11532
39,19,4509,3877,302,20552,5467
24,6,3474,4383,84,24465,7700
40,1,2569,3690,798,21603,5118
47,5,1584,2924,1533,24683,2030
49,4,458,5422,2132,9636,4174
40,19,1756,2765,868,17152,5197
42,15,1812,113,889,5393,7291
57,18,4740,5767,1206,8566,9451
43,17,2839,5604,1947,8497,5442
46,17,3320,888,2301,20403,6388
36,3,4440,9195,1844,2121,8848
38,3,1557,5453,2171,8485,50
43,6,681,1812,8,16599,6566
33,4,4889,3354,370,15064,186
32,13,567,5411,1175,20438,12755
36,9,3774,1546,1281,11982,13463
54,20,2325,5548,1764,24903,1331
46,3,4214,1707,564,682,14775
50,5,3932,1291,365,12144,3243
56,7,880,277,1743,19444,12059
27,19,4242,2522,2084,24373,12446
37,3,1633,3872,709,19077,6686
24,7,3591,6379,2392,8908,9235
43,10,2356,9029,553,15617,11737
38,12,3779,2032,925,6292,14927
34,1,1514,3364,638,4586,4089
42,6,528,7194,1285,9935,8510
43,12,153,585,1440,14280,272
39,15,2465,2650,654,21272,4758
60,16,1483,7911,1030,5949,3991
51,6,2476,2687,2022,17314,2791
45,18,2717,2209,477,12603,5789
43,1,4372,6932,363,2918,5883
47,19,4090,6637,669,11895,5160
26,2,3802,7261,1388,14276,10649
60,14,2447,5268,772,10102,394
37,11,3176,6556,1755,9275,4475
41,12,3313,8791,1074,5386,11885
52,9,86,2232,456,11405,14600
46,15,333,8772,2495,3909,7412
43,18,2249,1890,576,1888,14898
48,5,3959,1836,1299,8688,7530
17,6,123,7256,399,3331,11839
44,3,4338,2404,666,2135,6018
36,4,76,6079,2111,22712,10442
32,4,1846,4151,1815,2599,3263
37,20,3561,2310,1314,18079,5758
36,4,3446,7006,2369,23475,710
54,9,2148,6709,1364,22606,7724
48,17,2065,5452,1975,17823,8144
46,1,4369,7433,1885,15031,308
39,2,572,3349,1881,11742,6250
45,5,2028,7583,1853,13679,10157
50,7,1814,4531,921,23368,1321
32,6,4723,227,2221,14271,1494
39,15,3333,9410,1484,21023,2738
57,18,21,4475,1623,2311,2146
52,15,3550,1333,2083,4056,11914
46,20,1277,9524,1474,23467,12442
61,15,682,5346,1001,10733,6522
46,6,221,420,1934,21905,65
38,7,4021,8000,544,20467,4647
31,7,3348,8290,1611,20280,11484
44,15,92,985,355,9183,11308
60,15,2389,4905,212,20457,4640
32,4,3152,8985,387,20531,6080
23,20,4056,1438,1517,13839,10988
42,10,4362,8024,2056,9632,10935
41,20,2667,9552,1660,13404,11341
47,18,2697,556,1450,16378,5951
66,12,3720,7875,1827,19447,9532
43,18,4491,9520,1918,2612,4859
31,6,2137,887,2151,12832,4842
44,19,2602,273,759,3346,1146
40,17,275,5813,2106,21076,3403
36,14,159,8551,1336,5481,14613
35,6,2852,4174,1212,16699,3067
40,2,2367,2264,1395,18469,904
45,16,272,6042,975,2910,8426
51,18,3122,4330,2218,1141,3722
46,15,1593,7917,660,24726,2397
50,20,1837,2695,1704,21714,4134
40,10,4768,2005,1473,9980,12264
42,11,3002,731,516,15658,4679
36,17,357,3861,890,10088,2497
51,6,825,7617,651,19844,7604
16,7,3853,7973,165,13860,11740
60,20,256,285,1132,1548,7795
54,17,4441,9997,353,7535,12951
40,17,1421,9944,1078,5448,4132
31,2,1026,4412,106,17118,14556
43,8,1291,4092,2277,13546,12026
34,5,3782,6116,1583,8020,13268
43,4,3173,8600,1671,20004,3612
58,13,104,7251,94,4313,8699
36,10,518,5911,1162,11751,9165
46,2,1301,3963,357,4683,5363
26,5,1444,6999,890,17214,6058
49,20,4394,9229,2240,13329,4490
39,20,4773,5057,669,19973,13722
41,10,1950,8709,1830,1672,11202
50,11,137,7479,1396,7487,11098
20,19,1547,9421,494,16201,6157
44,8,4448,250,1176,4586,13880
28,15,3954,4137,1180,19189,4455
28,7,1331,3986,1941,7378,678
37,17,4536,157,746,12314,13190
35,1,2473,1445,82,17159,2002
36,19,3054,6252,2034,55,3577
62,11,4016,7444,1941,6232,8126
33,15,4048,3674,1727,24116,3925
51,6,1970,5433,706,20411,4244
55,1,3007,4940,1557,10231,1128
45,10,1431,5060,203,7754,12695
45,20,122,9516,1935,19839,3642
45,7,3103,9220,1465,1999,1905
46,6,940,548,1274,2990,1054
31,9,4839,8369,615,10750,14552
43,12,2771,277,55,24153,12685
23,4,437,2325,1580,16670,2655
39,19,1712,7771,1278,304,3740
40,7,3324,3684,1846,11193,8622
42,9,1739,1124,185,21465,10146
41,11,2283,4574,691,18193,9021
55,11,2362,5740,425,22321,3244
36,16,2614,6668,1245,24774,12495
36,14,4980,4436,985,4946,1412
61,9,4588,3532,121,6369,11089
52,18,1504,2606,507,1113,10881
51,7,2616,9723,1732,11356,10010
57,19,2568,6732,185,3201,995
24,5,4714,1100,1395,9863,1418
38,13,1175,6157,638,469,7997
52,10,1592,7494,1617,1500,2679
48,5,1802,2982,2414,11419,10323
42,20,2030,1266,2014,7006,4409
48,7,1448,7467,1844,15844,2767
52,9,1470,6669,1628,3956,7796
49,15,1665,6625,2158,16269,550
51,15,3260,6802,1562,3413,8786
46,1,1939,2511,850,21812,10038
30,18,1713,9998,821,2265,2219
27,3,2956,954,156,581,4966
36,10,3914,2927,2268,22432,2679
46,7,3980,2757,445,21650,13313
38,6,690,7362,1234,9443,3137
64,1,4183,5862,725,19128,5889
40,16,2828,9032,2439,19852,2846
37,5,1531,2765,566,20833,3490
48,1,2669,3452,994,1864,5957
59,16,857,5076,2483,10032,7641
31,17,2423,3809,2106,15882,8126
60,8,3552,1862,606,1050,6572
57,4,3945,5072,1749,15584,438
58,14,4605,9588,1153,2046,4533
38,20,3810,8276,1898,407,4744
50,12,4628,6740,1988,17860,2949
44,18,4946,6049,2131,5024,8946
52,8,4999,3156,2357,22431,748
52,15,1436,2422,2177,11690,5330
51,7,3557,6767,551,14042,12676
50,5,4108,2271,1166,21924,3433
49,11,3443,3354,2153,18551,4538
37,15,4564,2775,1434,15432,2476
48,15,4478,1637,282,6814,2626
